pack,mode,tag
background_positive,minimal,minimal background
background_positive,minimal,subject emphasis
background_positive,minimal,clean negative space
background_negative,studio,cluttered background
background_negative,studio,background noise
background_negative,studio,foreground bleed
background_negative,indoor,impossible room geometry
background_negative,indoor,warped walls
background_negative,indoor,floating furniture
background_negative,outdoor,flat backdrop
background_negative,outdoor,collapsed depth
background_negative,outdoor,incoherent horizon
background_negative,urban,warped buildings
background_negative,urban,broken vanishing point
background_negative,urban,street distortion
background_negative,urban,invented signage text
background_negative,nature,muddy foliage
background_negative,nature,texture soup
background_negative,nature,background collapse
background_negative,nature,wrong biome vs prompt
background_negative,minimal,busy background
background_negative,minimal,visual clutter
people_layout_positive,solo,single person
people_layout_positive,solo,one subject only
people_layout_positive,solo,clear subject focus
people_layout_positive,solo,solo count locked to prompt
people_layout_positive,duo,two people
people_layout_positive,duo,distinct individuals
people_layout_positive,duo,clear separation between subjects
people_layout_positive,group_small,small group portrait
people_layout_positive,group_small,distinct faces
people_layout_positive,group_small,non-overlapping silhouettes
people_layout_positive,group_large,crowd scene
people_layout_positive,group_large,layered subject depth
people_layout_positive,group_large,clear foreground/background grouping
people_layout_negative,solo,extra person
people_layout_negative,solo,background person
people_layout_negative,solo,duplicate body
people_layout_negative,duo,merged faces
people_layout_negative,duo,fused limbs
people_layout_negative,duo,third person artifact
people_layout_negative,duo,third silhouette not mentioned
people_layout_negative,group_small,face duplication
people_layout_negative,group_small,subject fusion
people_layout_negative,group_small,missing limbs
people_layout_negative,group_large,subject collapse
people_layout_negative,group_large,crowd blur soup
people_layout_negative,group_large,indistinct faces
relationship_positive,neutral,neutral interpersonal spacing
relationship_positive,neutral,non-overlapping poses
relationship_positive,romantic,romantic interaction
relationship_positive,romantic,gentle physical contact
relationship_positive,romantic,coherent paired pose
relationship_positive,combat,combat choreography
relationship_positive,combat,clear attacker-defender spacing
relationship_positive,combat,dynamic tension
relationship_positive,teamwork,cooperative group action
relationship_positive,teamwork,shared focal objective
relationship_positive,teamwork,coordinated pose direction
relationship_positive,teamwork,group action matches brief
relationship_negative,neutral,awkward overlap
relationship_negative,neutral,merged bodies
relationship_negative,romantic,anatomy merge
relationship_negative,romantic,fused torsos
relationship_negative,romantic,broken contact anatomy
relationship_negative,romantic,wrong relationship dynamic
relationship_negative,combat,weapon clipping
relationship_negative,combat,limb overlap confusion
relationship_negative,combat,pose collision
relationship_negative,teamwork,subject confusion
relationship_negative,teamwork,unclear action hierarchy
object_layout_positive,foreground_anchor,foreground anchor object
object_layout_positive,foreground_anchor,clear object silhouette
object_layout_positive,foreground_anchor,depth separation
object_layout_positive,rule_of_thirds,rule of thirds object placement
object_layout_positive,rule_of_thirds,balanced composition
object_layout_positive,symmetrical,symmetrical layout
object_layout_positive,symmetrical,centered structural balance
object_layout_positive,asymmetrical,asymmetrical balance
object_layout_positive,asymmetrical,intentional visual weight distribution
object_layout_negative,foreground_anchor,object float
object_layout_negative,foreground_anchor,object-background merge
object_layout_negative,rule_of_thirds,center lock artifact
object_layout_negative,rule_of_thirds,composition collapse
object_layout_negative,symmetrical,asymmetric distortion
object_layout_negative,symmetrical,skewed central axis
object_layout_negative,asymmetrical,unbalanced clutter
object_layout_negative,asymmetrical,visual tangles
composition_positive,single_subject,single subject focus
composition_positive,single_subject,clean silhouette
composition_positive,single_subject,clear subject isolation
composition_positive,single_subject,prompt-specified solo framing
composition_positive,group,multi-character composition
composition_positive,group,clear subject separation
composition_positive,group,non-overlapping silhouettes
composition_positive,group,headcount matches caption
composition_positive,multi_character,multi-character composition
composition_positive,multi_character,clear subject separation
composition_positive,multi_character,non-overlapping silhouettes
composition_positive,multi_character,each person has distinct clothing
composition_positive,multi_character,each figure has own pose
composition_positive,multi_character,readable silhouettes
composition_positive,multi_character,spatial separation between subjects
composition_positive,multi_character,each figure matches their description
composition_positive,scene,environment-first composition
composition_positive,scene,coherent depth layering
composition_positive,scene,foreground midground background
composition_positive,scene,environment layout from the prompt
composition_positive,cinematic,cinematic framing
composition_positive,cinematic,intentional camera blocking
composition_positive,cinematic,strong depth cues
composition_positive,cinematic,shot size matches wording
composition_negative,single_subject,duplicate person
composition_negative,single_subject,cloned subject
composition_negative,single_subject,double head
composition_negative,single_subject,extra face
composition_negative,single_subject,extra figure not in prompt
composition_negative,group,subject fusion
composition_negative,group,merged faces
composition_negative,group,merged limbs
composition_negative,group,missing listed person
composition_negative,multi_character,subject fusion
composition_negative,multi_character,merged faces
composition_negative,multi_character,merged limbs
composition_negative,multi_character,same outfit on both
composition_negative,multi_character,outfit swap
composition_negative,multi_character,clothes mixed between characters
composition_negative,multi_character,wrong outfit on wrong person
composition_negative,multi_character,identical twins when not intended
composition_negative,multi_character,cloned face on both
composition_negative,multi_character,merged bodies
composition_negative,multi_character,conjoined
composition_negative,multi_character,shared limbs between people
composition_negative,multi_character,pose copied onto wrong figure
composition_negative,multi_character,role swap vs description
composition_negative,scene,flat composition
composition_negative,scene,collapsed depth
composition_negative,scene,scale mismatch
composition_negative,scene,wrong landmark or room layout
composition_negative,cinematic,awkward framing
composition_negative,cinematic,confusing perspective
composition_negative,cinematic,visual clutter
composition_negative,cinematic,ignored camera instruction
perspective_stability_positive,_,consistent perspective
perspective_stability_positive,_,stable vanishing points
perspective_stability_positive,_,coherent scene scale
perspective_stability_positive,_,geometry matches lens description
perspective_stability_negative,_,perspective drift
perspective_stability_negative,_,scale drift
perspective_stability_negative,_,warped geometry
perspective_stability_negative,_,inconsistent scale
perspective_stability_negative,_,ignored focal length cue
perspective_stability_negative,_,warped floor grid vs prompt
duplicate_subject_negative,_,duplicate subject
duplicate_subject_negative,_,cloned person
duplicate_subject_negative,_,double face
duplicate_subject_negative,_,extra head
duplicate_subject_negative,_,extra torso
duplicate_subject_negative,_,clone not in caption
