pack,mode,tag
style_positive,painterly,coherent painted textures discipline
style_positive,3d_photoreal,photorealistic 3d render
style_positive,3d_photoreal,strong photorealistic 3d render
style_positive,3d_photoreal,more photorealistic 3d render
style_positive,3d_photoreal,photorealistic 3d render discipline
style_positive,3d_photoreal,realistic cg materials
style_positive,3d_photoreal,strong realistic cg materials
style_positive,3d_photoreal,more realistic cg materials
style_positive,3d_photoreal,realistic cg materials discipline
style_positive,3d_photoreal,cinematic physically based lighting
style_positive,3d_photoreal,strong cinematic physically based lighting
style_positive,3d_photoreal,more cinematic physically based lighting
style_positive,3d_photoreal,cinematic physically based lighting discipline
style_negative,3d,flat 2d look
style_negative,3d,strong flat 2d look
style_negative,3d,more flat 2d look
style_negative,3d,flat 2d look discipline
style_negative,3d,painted texture smear
style_negative,3d,strong painted texture smear
style_negative,3d,more painted texture smear
style_negative,3d,painted texture smear discipline
style_negative,3d,broken geometry
style_negative,3d,strong broken geometry
style_negative,3d,more broken geometry
style_negative,3d,broken geometry discipline
style_negative,3d,plastic artifacting
style_negative,3d,strong plastic artifacting
style_negative,3d,more plastic artifacting
style_negative,3d,plastic artifacting discipline
style_negative,photoreal,cartoon look
style_negative,photoreal,strong cartoon look
style_negative,photoreal,more cartoon look
style_negative,photoreal,cartoon look discipline
style_negative,photoreal,anime lineart
style_negative,photoreal,strong anime lineart
style_negative,photoreal,more anime lineart
style_negative,photoreal,anime lineart discipline
style_negative,photoreal,cgi plastic skin
style_negative,photoreal,strong cgi plastic skin
style_negative,photoreal,more cgi plastic skin
style_negative,photoreal,cgi plastic skin discipline
style_negative,photoreal,painterly brush strokes
style_negative,photoreal,strong painterly brush strokes
style_negative,photoreal,more painterly brush strokes
style_negative,photoreal,painterly brush strokes discipline
style_negative,semi_real,style collapse
style_negative,semi_real,strong style collapse
style_negative,semi_real,more style collapse
style_negative,semi_real,style collapse discipline
style_negative,semi_real,over-cartooned
style_negative,semi_real,strong over-cartooned
style_negative,semi_real,over-cartooned discipline
style_negative,semi_real,over-photographic mismatch
style_negative,semi_real,strong over-photographic mismatch
style_negative,semi_real,more over-photographic mismatch
style_negative,anime,photographic pores
style_negative,anime,uncanny realism
style_negative,anime,muddy linework
style_negative,anime,style contradicts photoreal request
style_negative,painterly,photo artifacts
style_negative,painterly,over-sharp photographic texture
style_negative,painterly,style inconsistency
style_negative,3d_photoreal,toy-like plastic look
style_negative,3d_photoreal,flat shading
style_negative,3d_photoreal,non-physical reflections
style_lock_positive,_,style consistency
style_lock_positive,_,single coherent art direction
style_lock_positive,_,uniform rendering style
style_lock_positive,_,prompt-locked rendering medium
style_lock_positive,_,no medium swap mid-image
style_lock_negative,_,style bleed
style_lock_negative,_,mixed incompatible styles
style_lock_negative,_,style drift
style_lock_negative,_,visual style inconsistency
style_lock_negative,_,medium drift from prompt
human_media_positive,photographic,authentic photograph
human_media_positive,photographic,believable exposure
human_media_positive,photographic,natural dynamic range
human_media_positive,photographic,real world texture
human_media_positive,photographic,photographic composition
human_media_positive,photographic,captured image not rendered
human_media_positive,photographic,exposure matches stated lighting words
human_media_positive,dslr,dslr photograph
human_media_positive,dslr,full frame look
human_media_positive,dslr,natural lens bokeh
human_media_positive,dslr,pleasant optical vignette
human_media_positive,dslr,sharp subject natural falloff
human_media_positive,dslr,real lens character
human_media_positive,film,35mm film photograph
human_media_positive,film,analog film grain
human_media_positive,film,film color science
human_media_positive,film,subtle halation
human_media_positive,film,organic grain structure
human_media_positive,film,portra palette subtle
human_media_negative,photographic,cg render
human_media_negative,photographic,game engine screenshot
human_media_negative,photographic,3d model turntable
human_media_negative,photographic,fake hdr
human_media_negative,photographic,look contradicts film vs digital cue
human_media_negative,dslr,phone computational mush
human_media_negative,dslr,over processed smartphone hdr
human_media_negative,film,digital noise pattern
human_media_negative,film,sensor banding as grain
lora_scaffold_positive,blend,coherent lora fusion
lora_scaffold_positive,blend,unified adaptation
lora_scaffold_positive,blend,single harmonized style
lora_scaffold_positive,blend,consistent trigger strength feel
lora_scaffold_positive,blend,prompt weights reflected in fusion
lora_scaffold_positive,character_first,locked character design
lora_scaffold_positive,character_first,consistent facial structure
lora_scaffold_positive,character_first,same outfit logic
lora_scaffold_positive,character_first,character model consistency
lora_scaffold_positive,style_first,dominant lora style
lora_scaffold_positive,style_first,style transfer coherence
lora_scaffold_positive,style_first,clear art direction from trigger
lora_scaffold_negative,blend,double adaptation clash
lora_scaffold_negative,blend,split style artifact
lora_scaffold_negative,blend,muddy lora blend
lora_scaffold_negative,blend,ghosting from stacked loras
lora_scaffold_negative,character_first,character face drift
lora_scaffold_negative,character_first,morphing identity
lora_scaffold_negative,character_first,inconsistent character
lora_scaffold_negative,character_first,ignored character tag order
lora_scaffold_negative,style_first,weak style adherence
lora_scaffold_negative,style_first,washed lora effect
lora_scaffold_negative,style_first,conflicting style cues
